date,sender,message,label
2026-06-18,+919886868379,"The training session starts at 10, please join on time let me know",Ham
2026-06-11,+919886475853,"reached home safely, dont worry ok?",Ham
2026-06-19,+919876591799,"  hey i need Rs 249 urgently, will return by month end  ",Ham
2026-06-05,+919817437386,"i need Rs 2000 urgently, will return by month end",HAM
2026-06-06,TM-OTPMSG,Your electricity will be disconnected tonight. Call 9214408183 now,spam
2026-06-11,JD-SWIGGY,da how was the viva today, ham
2026-06-16,AD-OFFERS,Delivery failed. Reschedule by paying Rs 99 at http://bit.ly/zr2yw,spam
2026-06-30,TM-OTPMSG,   ,SPAM
2026-06-06,+919898162850,Rs 1500 credited to your account XX5430 ok?, ham
2026-06-30,+919846702849,URGENT: Your account will be blocked today. Verify at http://tinyurl.com/yyrrt, spam
2026-06-09,VM-LOANXX,Your parcel is on hold. Pay Rs 249 customs at http://tinyurl.com/qcemk,spam 
2026-06-20,+919877454225,hey Your Swiggy order is out for delivery pls,ham 
2026-06-22,TX-PRIZE9,Standup is cancelled today, ham
2026-06-16,AD-SBIINB,"Part time job for students, no investment. Contact 9949447049", spam
2026-06-15,AD-SBIINB,Stock tips with 100% accuracy. Free trial. Join http://rb.gy/vjhyy,spam
2026-06-25,VM-LOANXX,You have won an iPhone! Answer 3 questions at http://tinyurl.com/e5umx,Spam
2026-06-22,+919817507864,  ok Please share the report before EOD today ok?  ,Ham
2026-06-20,+919831776452,machan call me when you are free,ham
2026-06-10,TM-OTPMSG,"no problem, take your time let me know",Ham
2026-06-08,VM-LOANXX,Your electricity will be disconnected tonight. Call 9751682766 now,SPAM
2026-06-12,+919859580252,Your SIM will be deactivated tonight. Call 9431091936 immediately,Spam
2026-06-04,+919882060023,Double your money in 30 days. Guaranteed returns. Call 9517509245,Spam
2026-06-18,+919858255231,ok wish you all the best for the interview ok da,HAM
2026-06-08,VM-LOANXX,Stock tips with 100% accuracy. Free trial. Join http://rb.gy/bah4v, spam
2026-06-26,+919857085656,"hi bro that movie was awesome, we should go again",ham 
2026-06-05,+919839219319,thanks a lot for the help yesterday let me know,HAM
2026-06-05,VM-AMAZON,Bitcoin doubling in 7 days GUARANTEED. Join http://rb.gy/x37dd,spam 
2026-06-22,+919879182797,"hi no problem, take your time",ham 
2026-06-29,+919853947691,hi what time is tomorrow's lab, ham
2026-06-26,+919854915875,"da bro that movie was awesome, we should go again",Ham
2026-06-23,+919864023778,  hey the canteen has a new offer on lunch combos let me know  ,ham 
2026-06-08,+919829804386,hi OTP 772875 for your login. Never share this code, ham
2026-06-17,VM-LOANXX,"Dear customer, your KYC is pending. Update now at http://rb.gy/fgrz9",SPAM
2026-06-17,+919856892354,there is a cash prize of Rs 1500 for the winning team,HAM
2026-06-13,+919850109721,hi OTP 194813 for your login. Never share this code, ham
2026-06-29,+919836096655,there is a cash prize of Rs 199 for the winning team ok da, ham
2026-06-15,+919867740376,"da sorry yaar running late, 10 mins pls",HAM
2026-06-03,TM-OTPMSG,"Flat 90% OFF, sale ends in 2 hours. Hurry http://tinyurl.com/c5jk8",SPAM
2026-06-03,TX-PRIZE9,"You are selected for Rs 50,000 cash prize. Send bank details to claim",spam 
2026-06-16,VM-AMAZON,"bro congrats da, you won the match!! party podu",Ham
2026-06-04,+919856095437,"You are selected for Rs 2,500,000 cash prize. Send bank details to claim",SPAM
2026-06-20,AD-SBIINB,what time is tomorrow's lab thanks,HAM
2026-06-28,+919865692629,  i will call you after dinner  ,Ham
2026-06-15,TX-PRIZE9,"WINNER! Rs 500,000 lucky draw prize. Call 9326541099 today",Spam
2026-06-20,VM-LOANXX,"Part time job for students, no investment. Contact 9874807770",spam 
